Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Finland,3845.184,3831.139,3794.738,3597.336,3600.996,3209.2,2853.85,1907.837,1400.594,810.888,838,983,838.965,1082.581,1237.292,1175.898,1157.987,1179.86,1189.616,1255.167,1239.524,1215,1226,1222,1146.455,1113,1121.054,1009.634,1203.187,1218.915,1171.308,1172.812,1178.422,1347.339,1347.491,1214.374,1196.646,1214.135,1062.011,1124.659,1162.723,1138.4,1261.937,1151.935,1154.799
France,20824.828,20861.286,20112.426,18727.257,16819.51,15093.205,13712.641,9305.297,8406.743,6854.064,6653,5574,5621.236,5744.903,6277.165,6454.787,6201.605,6258.838,6828.189,7221.445,7292.503,6883,6280,6360,6389.246,6311,7297.378,7635.435,7922.286,7925.609,8822.32,6918.993,8461.266,7831.026,7426.602,6498.397,6938.695,7274.503,7008.166,7294.4,7426.535,7861.587,7936.15,8239.149,9638.557
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.241,32.072,34.9,1.06,11.305,11.305,11.305,11.519,11.155,14.455,16.684,20.908,23.163,22.092,22.039,26.435,26.435,26.435
French Southern Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.724,104.724,0.367,0.367,0.367,0.367,0.367,13.373
Gabon,143.062,143.062,143.594,143.594,143.789,169.212,169.612,170.176,29.276,29.276,29,29,29.956,30.186,49.265,37,43.836,44.259,45.36,30.265,11.631,8,8,8,7.842,8,8.185,7.931,7.931,8.261,8.85,330.873,330.973,404.839,404.839,406.907,333.41,332.638,424.871,424.757,608.729,1156.911,1512.937,2183.003,5614.502
Gambia,4.405,4.405,3.492,4.204,4.243,4.223,4.046,4.046,5.098,5.098,2,2,2.029,2.029,1.524,2.745,2.745,2.556,1.865,2.075,1.865,2,2,2,1.726,12,11.225,11.713,11.713,11.713,11.713,9.899,3.421,3.006,3.006,3.006,3.006,4.259,7.747,5.474,5.474,5.474,7.209,20.114,17.358
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,,,0.036,634.59,407.653,290.457,152.56,147.922,183.76,142,348,791,1106.007,1340,1501.528,1605.421,1472.611,914.977,935.2,705.914,378.121,156.687,190.621,156.421,93.693,80.034,79.106,108.936,58.189,57.683,8.134,8.753,8.753
Germany,0,0,0,0,0,0,0,0,0,0,6778,7100,7174.901,6554.199,6088.726,6823.48,6599.668,6874.256,8309.011,9791.65,7788.31,7773,7450,7730,6902.179,9381,13578.168,13264.24,15031.016,17949.005,17570.219,16499.808,17666.018,16190.523,14077.202,12560.051,11043.154,10545.946,9987.474,8609.215,8789.121,7901.883,7134.568,7270.555,8055.891
Ghana,226.848,294.691,295.891,297.321,296.757,208.896,177.158,178.268,143.029,122.465,114,110,133.069,132.023,107.723,92.51,96.001,113.322,105.761,89.82,92.076,94,99,102,96.462,88,88.755,86.974,85.518,85.923,84.657,27.913,46.992,43.738,51.923,50.809,35.717,39.509,40.133,39.259,40.36,41.914,43.372,44.744,44.874
Gibraltar,3.805,3.805,63.73,25.462,376.649,448.93,1020.889,2998.964,5293.273,5795.834,5026,3849,1634.642,859.252,705.997,617.721,579.435,579.854,566.948,561,728.47,922,1180,1396,1255.941,1472,1417.991,,,,,2387.009,2361.636,3087.676,3719.326,3679.758,3357.996,3009.1,2505.446,2223.992,2089.117,1944.75,1387.305,1104.002,957.943
Greece,63310.152,67047.715,73513.866,70231.771,65986.213,62236.552,55356.085,51294.326,42775.945,39718.62,38465,37205,44010.755,47712.282,54136.203,53993.554,52064.664,48042.326,43719.351,43413.753,42532.146,44618,48368,49306,54481.474,54642,52135.563,54613.171,61383.561,63035.765,67629.171,70135.036,73068.539,74145.118,73947.459,75191.178,73515.059,72074.892,72122.506,69482.687,69034.842,64397.715,61631.636,58940.229,56278.817
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.694,3.694,3.736,1.139,1.596,1.596,1.734,1.284,1.059,1.059,1.286,2.223,2.015,2.015
Grenada,0.34,0.34,0.342,0.342,0.577,0.577,0.577,0.577,0.829,0.484,1,1,0.484,1.383,1.383,0.555,8.437,0.95,0.95,0.95,0.95,1,1,1,0.995,1,0.995,0.995,0.995,0.995,0.995,1.457,1.788,1.457,1.457,1.457,1.457,1.457,1.457,1.457,1.457,1.457,1.457,1.457,1.457
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.647,1.647,1.856,,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Guatemala,13.082,20.109,39.616,39.616,27.186,24.138,24.138,13.603,6.45,6.45,7,7,0.353,0.353,,,,,,,3.752,4,4,7,3.547,5,4.497,4.497,4.497,2.847,2.847,1.383,1.383,1.49,1.49,1.659,1.659,1.785,1.659,1.659,2.032,2.032,2.032,2.032,2.032
Guinea,18.113,2.823,2.827,2.827,2.927,2.927,2.927,2.927,2.927,2.927,3,3,1.749,1.749,1.993,2.913,2.411,2.573,4.669,5.491,4.754,5,5,5,7.362,6,7.19,9,10.195,10.195,11.563,6.015,,,,0.149,0.149,0.38,0.38,0.38,0.38,0.38,1.886,0.38,1.563
Guinea-Bissau,0.02,0.02,0.82,2.523,2.523,2.523,2.523,2.843,2.846,2.846,2,2,1.846,1.846,1.846,1.846,2.699,2.699,2.171,1.996,2.187,3,2,2,2.167,2,2.167,2.167,2.167,2.167,2.167,2.11,2.35,2.35,2.223,2.223,2.223,1.992,1.992,1.992,1.992,1.992,1.992,87.082,320.47
Guyana,15.484,16.783,17.306,19.518,19.633,22.377,22.662,22.167,20.406,13.261,11,11,13.509,13.509,14.179,13.925,12.899,14.421,16.121,15.076,12.518,15,14,14,30.14,33,37.88,36.918,42.408,41.301,41.748,36.877,36.421,40.825,42.955,42.894,42.894,52.429,52.429,47.293,50.813,52.399,980.031,157.345,763.107
Haiti,0.523,1.323,2.436,1.742,0.851,0.851,1.705,1.705,0.17,0.17,,1,0.429,0.429,0.17,0.17,0.17,0.17,0.963,0.963,0.963,1,1,1,0.963,1,0.963,0.963,1.535,2.145,1.535,1.004,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116
Honduras,227.047,275.231,269.017,323.545,298.125,390.304,516.21,827.066,741.691,873.015,982,1046,1291.463,1595.126,1703.317,1753.458,1695.808,1629.371,1386.142,1353.036,1520.735,1317,1158,1220,999.798,972,931.397,837.721,794.739,791.115,702.183,724.96,590.963,613.091,559.221,511.971,508.126,481.47,467.153,444.364,751.744,781.806,751.841,746.595,1099.584
Hungary,110.35,105.601,117.083,112.485,112.485,112.468,109.739,122.277,109.444,108.015,108,143,136.151,132.974,64.979,64.979,64.979,70.864,37.77,20.14,14.93,,,6,10.025,,,,,,,,,,,,,,,0.135,0.135,0.135,0.135,0.135,0.135
Iceland,165.212,175.424,171.063,168.171,168.793,165.927,168.527,161.593,150.987,148.307,155,135,115.689,110.928,101.423,96.927,107.002,93.328,96.743,83.655,83.576,15,13,78,72.773,80,78.125,78.206,72.846,71.089,69.379,11.406,10.783,10.771,12.105,15.505,15.505,21.261,18.526,15.315,15.949,14.677,14.339,18.048,17.131
India,9375.317,9451.453,9732.209,10058.546,10081.564,10368.343,10760.881,10691.035,10890.782,9922.847,10207,10497,10358.965,10574.548,10673.896,10508.351,11613.566,11639.054,11261.409,11034.808,11209.341,10570,10645,10286,11363.303,12347,13295.096,13904.427,15041.484,15300.482,14969.558,15715.796,16484.135,16257.253,15855.692,15617.445,16376.466,17355.995,18530.646,17441.95,17483.498,17116.568,16928.49,18128.627,18421.377
Individual economies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4665,4809.319,5039,5308.33,6268.253,6859.065,7025.229,10470.68,15112.526,13740.323,15509.182,17384.222,19108.85,19855.619,21466.864,23754.778,25414.326,27236.787,29135.6,29409.157,30256.283,32740.741
Indonesia (...2002),1698.521,1863.699,2445.854,2632.655,2801.546,2627.275,2673.698,2927.103,2963.181,2956.574,2742,2910,3158.59,3172.484,3211.918,3403.576,3626.192,3851.425,4150.192,4201.969,4153.738,4262,4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),1823.509,1932.73,1830.231,2024.275,2907.389,3410.649,3864.513,5064.254,7222.831,7939.315,8685,8692,8372.664,8359.604,8099.261,6840.019,4975.012,6211.404,6181.732,5758.054,6097.33,7207,6642,7098,8335.919,9114,9009.284,8952.8,5221.604,1514.719,1333.264,2180.215,919.903,2827.986,4622.428,4612.999,4942.372,6760.884,4366.701,4337.855,19832.465,20761.954,20481.137,20724.151,20778.65
Iraq,2367.726,2564.623,2598.95,2657.319,2694.455,1790.466,1685.917,1699.613,1683.083,1675.923,1813,1797,1586.017,1567.484,1566.433,1548.029,1503.775,1503.267,953.182,835.043,834.687,835,332,243,206.808,210,175.423,175.779,202.008,202.23,180.105,152.94,84.608,83.012,104.83,109.468,109.468,109.325,96.816,96.519,101.87,97.997,103.049,104.479,170.304
Ireland,237.693,247.867,342.453,277.477,266.296,270.459,226.548,148.938,162.87,172.821,178,188,211.949,216.658,211.21,187.105,199.893,191.49,183.94,149.863,154.409,176,181,175,446.049,468,306.439,183.871,184.459,192.925,196.18,221.081,249.092,244.635,276.356,309.31,309.458,284.597,307.314,346.604,384.557,388.963,381.385,377.578,389.202
Isle of Man,,,,,,,,,,,,,,,,3597.027,3895.207,5134.317,8010.435,6783.84,7687.032,8888.101,8829.698,9955.855,11173.48,13501.276,13885.429,14221.802,13850.292,14515.937,16710.921,17910.273,22262.213,22688.677,25204.787,24629.678,22380.56,24987.871,27267.307,27888.655,24101.431,22012.918,20603.023,20075.952,19354.695
Israel,585.507,607.162,769.074,872.117,865.663,677.45,657.458,679.228,612.579,655.727,586,609,701.4,825.235,808.546,785.777,720.71,803.35,922.524,861.799,832.066,712,712,892,891.593,864,873.806,893.733,855.239,533.289,486.059,318.854,309.772,209.445,209.915,316.869,321.909,326.206,326.267,309.362,330.479,446.258,449.311,342.951,76.616
Italy,19129.542,17951.113,17429.251,17043.864,16474.699,14938.899,14373.113,12407.125,12178.384,11867.321,11524,11840,10931.739,10569.903,9681.203,9334.563,8843.79,8442.167,7514.397,8301.445,9768.821,10366,10305,11500,10575.442,11316,12074.127,13278.916,13266.859,14415.394,17275.958,18059.3,20813.287,20747.887,20314.54,17009.331,16487.885,15971.501,15038.382,13437.009,11977.591,11265.864,9978.627,9106.706,7669.788
Jamaica,12.434,12.434,12.554,13.988,12.878,12.878,12.878,12.878,18.54,21.317,21,21,21.317,16.207,16.207,10.545,6.105,6.339,6.112,3.299,3.299,3,25,126,78.857,186,197.673,171.738,248.13,309.859,353.31,211.273,219.244,172.507,166.192,183.786,138.613,220.478,148.85,136.167,140.454,119.553,64.866,75.784,69.133
Japan,66315.117,67320.933,67496.68,68528.063,66640.057,64624.307,63451.188,59978.976,54669.378,48413.587,42357,40828,38175.186,37455.406,35611.692,32322.902,28783.522,27451.536,26048.744,24444.88,22722.864,19451,17913,17379,16576.667,16013,15099.949,15095.79,14810.403,15416.666,17707.219,17638.264,18808.945,20296.915,28560.826,31027.218,32631.127,34889.206,37708.615,39217.194,40749.112,39098.73,40034.401,41709.353,43006.526
Jordan,1.2,1.2,1.219,30.355,53.057,75.525,76.155,61.427,47.71,47.71,48,64,113.557,113.557,129.598,113.327,33.648,67.76,69.754,59.344,59.344,59,54,94,385.245,211,224.947,543.276,508.158,395.642,369.267,375.433,346.628,61.543,52.808,103.143,103.754,99.43,100.63,105.696,106.893,90.401,91.035,91.035,95.681
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.194,5.772,4.769,5.278,4.742,4.742,6,6,7,10.623,20,46.755,79.951,68.162,72.738,91.306,126.768,134.317,136.389,143.081,155.512,165.888,166.838,161.767,121.85,150.91,134.834,134.969,137.909,183.447
Kenya,35.592,20.399,2.964,3.164,3.266,3.672,4.859,6.431,4.841,4.841,5,4,11.649,14.055,15.449,15.579,16.962,18.897,18.912,19.369,19.096,19,18,17,15.542,16,16.531,15.616,14.035,14.035,14.035,7.175,6.902,7.243,6.614,9.264,9.264,10.119,10.592,11.545,11.545,13.042,12.839,12.839,12.839
Kiribati,0.868,0.618,1.484,1.846,1.846,1.832,1.297,2.685,2.841,2.841,3,3,2.685,3.98,3.98,4.674,7.094,7.094,7.054,4.1,4.1,3,4,5,4.1,4,6.716,40.83,193.151,400.68,828.829,805.562,455.184,463.01,624.795,670.116,573.844,444.468,425.315,264.428,299.305,326.956,339.197,255.628,115.097
Kuwait,4080.855,4218.818,3856.998,3251.218,4121.735,3879.889,3505.829,4121.279,3183.61,1010.974,2887,2944,2639.86,3834.059,3640.18,3236.39,3250.061,3207.685,3138.678,3892.03,3884.391,3813,3633,3583,3716.426,3811,3706.438,3442.791,3973.696,3865.249,3856.237,3030.761,3962.623,4133.245,3973.957,5365.461,5368.081,5015.344,4894.038,4165.663,4220.646,4521.602,4849.075,4742.704,4743.372
Lao People's Dem. Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.672,4.672,1.562,1.562,1.562,21.562,1.562,1.562,1.562,1.562,1.562,1.562,1.562,1.562,1.562,1.562,1.562,1.562
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,,1355.46,1322.801,1177.17,881.008,783.921,351.173,96.133,101.497,81,54,47,53.118,356,366.053,379.432,255.023,248.261,180.31,100.066,86.053,57.345,79.457,82.82,104.112,78.236,102.89,75.791,110.036,110.886,161.952,171.847,201.994
Lebanon,356.606,374.253,460.988,536.402,681.151,696.676,790.014,766.784,729.538,634.525,593,473,421.379,451.506,388.802,407.49,424.013,413.817,453.16,394.13,483.216,546,429,310,246.605,238,215.374,190.91,154.315,155.3,158.612,168.199,160.515,145.291,150.435,169.863,201.413,183.806,181.686,202.925,184.903,181.79,177.854,203.082,197.885
Liberia,160037.798,157977.559,147686.831,139250.179,133239.734,121394.635,113552.239,101587.64,97957.869,93987.093,89501,99226,94807.604,98369.597,93132.059,96075.8,97888.613,98611.538,98265.077,97821.338,85186.919,80062,78484,77016,82085.102,83592,93026.087,105182.334,117518.772,125992.848,142120.95,167743.274,187905.441,199879.596,202996.08,201568.838,207547.172,217115.699,224057.191,243886.717,275242.346,299826.87,335724.838,378302.559,408368.911
Libya,1583.652,1586.5,1575.477,1604.885,1604.965,1514.077,1513.747,1459.615,1447.491,1463.243,1463,1468,1469.747,1216.782,1217.29,1218.675,1222.477,1138.641,1147.534,909.906,667.09,661,291,117,115.804,100,103.511,99.174,96.975,424.846,1404.933,1424.484,1413.455,1409.31,1411.705,1884.348,1884.348,2132.933,2132.933,1625.019,1625.019,1626.314,1626.314,1680.166,988.575
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,,633.518,594.765,605.011,562.426,518.443,476.28,457.758,414.576,420,381,415,402.508,412,445.793,415.281,385.144,370.392,364.233,307.524,298.092,281.186,291.316,269.865,259.243,169.327,204.221,179.927,220.966,230.421,213.6,180.151,183.334
Luxembourg,1365.617,,,,,,,,,2.5,6,6,2624.72,2659.491,2125.063,1798.415,1297.554,1232.565,1082.659,1574.794,1959.629,1427,2125,2038,1365.617,919,644.563,1051.848,1120.225,964.353,1099.779,1212.47,1536.713,1428.422,3513.949,3621.803,3073.217,2312.696,1878.447,1625.615,1292.494,1314.46,1401.754,1417.401,1487.703
Madagascar,75.282,128.687,100.289,105.137,107.071,106.782,97.712,96.587,82.242,117.212,88,92,91.908,50.635,34.954,37.721,40.789,40.39,41.574,43.033,45.113,48,47,33,33.056,30,31.511,31.511,31.894,30.052,30.625,27.011,24.623,24.623,13.276,13.276,13.276,10.544,10.544,9.369,10.03,10.03,10.03,11.694,11.694
Malawi,,,0.1,0.1,0.1,0.4,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,909.242,1011.754,1210.112,1634.068,2075.387,2409.607,2582.744,2506.631,2388.253,2265.811,2364,2460,2657.429,2959.79,3164.907,4134.207,4748.365,6132.722,6963.862,7609.274,7577.465,7692,7248,8005,8063.786,8708,7755.349,8570.791,9448.373,9390.849,10224.838,10850.141,11129.697,10339.496,9461.036,9580.271,9768.857,9855.945,10273.433,10435.874,10407.982,10206.768,9332.355,9460.575,9439.698
Maldives,116.703,189.904,255.955,313.01,267.326,204.124,205.327,132.978,159.852,165.425,148,123,99.122,81.594,85.294,106.808,130.655,143.868,145.236,151.272,132.843,112,96,85,83.977,105,118.1,132.551,164.452,191.923,187.528,151.65,111.916,111.777,65.895,70.074,77.809,72.268,65.684,69.903,62.569,62.246,74.942,125.943,123.507
Mali,0.225,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,149.353,182.063,336.646,613.858,1341.915,2102.016,2988.755,3415.403,2852.641,4518.532,5691,7756,15169.013,18633.622,24380.365,26267.73,29629.1,32168.358,38006.551,39891.334,46749.434,46330,44272,42610,40998.439,36101,36942.359,40440.15,45218.092,50665.678,56156.103,54243.411,68678.772,68979.795,78331.767,86386.433,94831.749,101242.231,109126.518,110892.196,115593.934,115838.752,114822.032,108990.702,102467.145
Marshall Islands,0,0,,,,,,,,,,,,,,,,,,,,,21859.67,26270.51,31048.35,42105.51,48892.65,54278.1,59600.136,68450.835,77827.419,106528.335,122579.163,140808.35,153448.905,178062.312,198237.866,216368.198,238074.146,245714.986,262055.024,274264.986,290273.448,299809.293,308501.09
Mauritania,0.311,0.311,0.316,3.282,5.687,7.094,8.337,10.23,13.878,19.617,22,22,22.843,24.734,21.628,20.311,19.417,20.034,19.14,21.258,22.234,23,23,24,23.259,24,24.511,24.663,24.663,24.779,24.675,1.513,1.505,1.31,1.31,14.953,14.953,1.42,1.42,1.42,1.42,1.42,3.838,3.838,3.838
Mauritius,51.73,47.137,47.652,42.013,42.013,57.455,53.829,257.529,240.721,223.422,216,141,111.925,175.158,286.426,301.082,324.692,327.358,363.251,257.323,189.723,106,109,55,60.082,76,72.442,66.293,37.083,37.498,63.846,65.696,141.393,130.079,135.149,130.897,133.797,124.085,124.085,123.981,144.583,150.306,148.266,70.598,80.679
Mexico,1259.59,1407.911,1607.705,1752.48,2148.815,2146.277,2077.451,2206.643,2172.957,1985.347,1883,1803,1542.962,1505.41,1536.215,1551.537,1494.083,1491.732,1502.144,1409.581,1226.578,1180,1180,1207,1251.861,1325,1364.465,1501.051,1519.301,1629.178,1775.657,1949.378,1673.775,1734.331,1804.239,1937.978,1737.92,2110.645,2253.843,2301.547,2389.413,2142.303,2201.532,2104.249,2280.26
Micronesia (Federated States of),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.844,7.993,6.617,7.487,44.251,71.012,60.997,312.314,121.082,81.319,63,61.637,57.214,52.179,58.909
Monaco,49.977,49.977,26.199,4.959,26.199,4.959,4.959,,,,,,,,,,,,,,,,,,,,,,,,,0.094,0.094,0.094,0.094,0.094,0.094,0.094,1.594,0.094,0.094,0.094,0.094,0.094,0.192
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.002,1061.141,1011.184,1189.615,1300.923,910.256,688.555,1004.216,2277.32,2300.408,1319.809,694.291,821.57,856.814,814.399,720.113,940.951,1099.82
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.276,14.521,6.125,7.801,5.959,75.559,73.344,141.568,141.568,141.568,141.751,141.787,142.608,142.677,142.222,142.209,141.789
Montserrat,1.861,1.541,1.566,1.566,1.016,1.016,1.016,1.016,1.016,1.016,1,1,1.016,1.016,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,574.111,566.025,578.017,601.289,587.024,641.229,679.513,595.364,579.852,593.015,594,618,593.094,603.345,438.844,391.321,380.138,385.637,371.665,382.389,383.786,398,398,363,391.567,387,389.795,365.486,335.788,345.635,332.014,130.623,149.41,145.074,149.622,138.873,154.837,147.405,163.26,133.892,161.057,153.876,155.993,165.428,147.969
Mozambique,35.353,35.923,37.025,37.835,41.034,45.822,36.24,38.811,28.99,27.81,27,29,29.942,32.051,28.418,26.08,27.239,29.507,24.366,23.393,25.228,24,30,28,27.735,28,27.485,27.485,29.629,29.816,35.046,21.199,24.531,24.531,28.431,28.431,28.431,28.431,28.715,28.715,30.74,33.156,33.156,33.156,33.257
Myanmar,71.877,100.927,100.141,101.762,128.242,128.316,138.901,150.88,363.286,412.508,907,1246,1488.546,1335.957,986.96,934.081,696.213,923.318,728.197,718.952,792.307,656,533,577,650.851,656,645.456,574.124,236.553,193.221,210.133,205.307,197.484,183.937,280.113,303.456,321.771,210.399,204.613,186.652,205.914,200.018,193.995,176.755,176.755
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.562,76.739,72.879,70.384,2.897,2.117,3.72,21.355,21.355,21.355,27.456,41.832,41.832,41.832,41.832,56.332,56.332,56.332
Nauru,74.458,74.458,75.514,84.621,95.321,93.391,93.391,93.391,92.878,83.771,45,41,5.791,5.791,,,,,,,,,,,,,,,,,,,,,,,,,,11.817,61.826,9.373,1.166,3.135,3.402
Netherlands (Kingdom of the),8404.959,8998.739,8599.938,8430.149,7479.719,6653.523,5949.419,5993.883,5122.867,4698.468,4557,4725,5165.129,5236.82,5030.056,5071.277,5315.405,5904.426,5649.859,5958.74,6607.344,6911,7477,7255,7920.023,7940,7625.599,5827.605,6217.393,6814.994,7252.493,6904.908,8397.576,8341.428,8624.478,8516.048,8054.908,7489.596,7259.239,7147.163,7051.211,6810.604,6660.501,6599.273,6713.521
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.64,1713.34,2026.994,1836.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.114,5.161,5.161,2.663,4.37,4.288,4.177,4.177,3.991,3.991,10.559,11.81,13.823,13.823,13.807,12.224,12.224,10.103
New Zealand,279.62,279.179,260.825,270.082,269.949,305.898,334.243,344.796,371.258,378.113,299,302,286.836,280.364,251.092,260.193,307.55,421.599,396.442,379.164,332.665,167,167,124,164.358,173,179.535,284.617,362.066,361.004,327.387,181.627,168.99,164.002,162.946,164.365,172.2,189.891,248.789,191.794,205.259,205.148,210.4,128.089,124.486
Nicaragua,16.018,20.697,25.689,29.464,25.74,27.304,25.409,31.947,16.976,18.191,3,3,1.295,1.483,1.483,1.483,1.483,1.773,1.773,1.978,1.978,1,2,2,1.79,2,2.71,2.71,2.71,2.71,2.71,2.721,2.721,2.721,2.721,2.721,2.721,5.921,2.721,2.721,2.721,2.721,2.721,2.721,3.024
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.739,6.739,6.739,0.699,0.699,0.699,0.699,0.699,4.7,,
Nigeria,571,698.522,671.264,643.591,638.123,609.74,607.095,809.278,855.026,851.93,737,727,725.931,751.686,749.225,699.604,724.619,682.197,706.634,695.898,677.859,685,650,657,675.935,691,530.079,524.174,626.36,897.035,989.414,3744.838,3527.744,3579.026,4060.244,4232.614,3875.923,3938.964,3994.983,4402.377,4534.037,4937.914,4985.529,5906.928,6866.075
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.082,160.19,296.28,232.979,195.215,248.141,299.223,228.388
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.165
Northern Mariana Islands,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,,,,,,,,,33.707
